"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","342.06","345.61","347.50","340.62","816.94K","-1.03%"
"06/04/2025","345.61","343.00","348.10","341.50","3.33M","1.87%"
"06/03/2025","339.26","335.00","343.50","334.00","2.96M","2.26%"
"06/02/2025","331.77","336.05","339.85","330.00","984.54K","-1.15%"
"05/30/2025","335.62","335.44","338.00","333.50","827.98K","0.67%"
"05/29/2025","333.38","325.97","339.90","324.75","2.76M","2.82%"
"05/27/2025","324.23","325.01","329.79","319.50","2.29M","0.42%"
"05/26/2025","322.88","321.01","327.82","321.01","495.88K","-0.60%"
"05/23/2025","324.82","326.96","330.49","320.05","917.95K","-0.05%"
"05/22/2025","324.99","335.51","336.88","323.52","1.88M","-3.10%"
"05/21/2025","335.39","336.99","338.09","333.60","1.04M","-0.53%"
"05/20/2025","337.17","339.00","346.00","332.82","1.33M","-0.29%"
"05/19/2025","338.15","345.00","347.00","335.10","1.39M","-1.23%"
"05/16/2025","342.37","349.00","349.00","341.50","1.05M","-1.47%"
"05/15/2025","347.49","351.10","354.00","343.00","2.64M","-1.03%"
"05/14/2025","351.10","364.95","364.95","343.00","5.82M","-0.03%"
"05/13/2025","351.19","351.00","354.99","337.80","6.26M","3.97%"
"05/12/2025","337.78","337.78","337.78","337.78","876.83K","10.00%"
"05/09/2025","307.07","295.00","309.00","280.15","3.64M","6.74%"
"05/08/2025","287.68","306.11","317.95","274.43","7.40M","-5.65%"
"05/07/2025","304.92","300.01","318.44","296.00","7.17M","-5.69%"
"05/06/2025","323.31","339.31","339.31","320.00","2.35M","-3.49%"
"05/05/2025","335.01","337.00","340.00","328.00","3.19M","-0.53%"
"05/02/2025","336.80","336.10","342.00","333.00","4.55M","2.91%"
"04/30/2025","327.29","340.00","343.94","325.00","5.29M","-6.26%"
"04/29/2025","349.16","358.00","363.98","335.00","7.84M","-2.71%"
"04/28/2025","358.88","365.00","383.25","355.13","9.95M","2.45%"
"04/18/2025","350.29","349.76","359.20","347.60","5.55M","0.76%"
"04/17/2025","347.66","346.40","351.98","345.40","2.24M","0.74%"
"04/16/2025","345.11","344.00","354.20","342.00","3.78M","0.54%"
"04/15/2025","343.25","340.00","349.40","335.00","5.75M","1.58%"
"04/14/2025","337.92","323.10","339.80","321.02","5.14M","-78.92%"
"04/11/2025","1,602.95","1,590.00","1,614.00","1,578.00","456.10K","0.07%"
"04/10/2025","1,601.83","1,603.00","1,626.00","1,580.01","796.98K","2.62%"
"04/09/2025","1,560.98","1,580.00","1,580.00","1,541.00","605.41K","-0.84%"
"04/08/2025","1,574.15","1,500.01","1,621.80","1,494.00","2.06M","6.65%"
"04/07/2025","1,476.06","1,490.00","1,500.00","1,412.00","586.05K","-1.69%"
"04/04/2025","1,501.41","1,515.00","1,529.95","1,497.00","311.56K","-0.98%"
"04/03/2025","1,516.26","1,490.00","1,529.89","1,486.01","292.52K","1.31%"
"03/27/2025","1,496.60","1,486.01","1,518.00","1,480.20","265.30K","0.36%"
"03/26/2025","1,491.28","1,510.00","1,515.00","1,480.00","212.44K","-0.44%"
"03/25/2025","1,497.87","1,496.00","1,507.25","1,473.00","153.13K","0.09%"
"03/24/2025","1,496.45","1,538.00","1,542.00","1,489.00","242.49K","-2.05%"
"03/21/2025","1,527.79","1,551.10","1,560.00","1,520.05","166.23K","-1.40%"
"03/20/2025","1,549.49","1,547.99","1,570.00","1,540.20","554.31K","0.97%"
"03/19/2025","1,534.62","1,515.00","1,545.00","1,490.00","578.66K","1.17%"
"03/18/2025","1,516.80","1,500.00","1,525.00","1,492.55","524.94K","1.59%"
"03/17/2025","1,492.99","1,469.99","1,499.00","1,465.00","415.55K","1.97%"
"03/14/2025","1,464.11","1,490.00","1,490.00","1,455.60","420.09K","-0.49%"
"03/13/2025","1,471.33","1,434.00","1,484.00","1,434.00","441.74K","2.83%"
"03/12/2025","1,430.90","1,442.00","1,444.00","1,428.00","83.98K","-0.51%"
"03/11/2025","1,438.29","1,448.00","1,450.00","1,432.00","131.41K","-0.70%"
"03/10/2025","1,448.49","1,450.00","1,463.00","1,440.00","129.25K","-0.03%"
"03/07/2025","1,448.95","1,439.99","1,457.88","1,434.00","323.72K","0.98%"
"03/06/2025","1,434.93","1,437.10","1,450.00","1,432.75","178.14K","0.04%"
"03/05/2025","1,434.31","1,433.00","1,460.00","1,429.00","284.83K","0.39%"
"03/04/2025","1,428.76","1,413.01","1,439.90","1,413.01","194.22K","1.14%"
"03/03/2025","1,412.72","1,415.25","1,434.00","1,409.00","161.77K","-0.80%"
"02/28/2025","1,424.16","1,444.90","1,444.90","1,406.10","187.31K","-0.89%"
"02/27/2025","1,436.93","1,467.00","1,469.89","1,433.00","159.38K","-1.58%"
"02/26/2025","1,459.93","1,458.00","1,475.98","1,450.00","249.74K","0.25%"
"02/25/2025","1,456.28","1,460.00","1,480.00","1,440.00","421.26K","0.48%"
"02/24/2025","1,449.37","1,401.00","1,471.99","1,371.10","1.46M","1.89%"
"02/21/2025","1,422.52","1,535.51","1,535.51","1,405.00","2.13M","1.91%"
"02/20/2025","1,395.92","1,400.00","1,450.00","1,380.00","645.47K","-0.45%"
"02/19/2025","1,402.17","1,467.90","1,474.00","1,392.00","535.67K","-3.94%"
"02/18/2025","1,459.65","1,410.00","1,491.00","1,381.02","694.51K","3.94%"
"02/17/2025","1,404.30","1,367.00","1,441.00","1,360.00","1.02M","2.78%"
